Number,mean-1,mean-2,mean-3,mean-4,mean-5,mean-average,mean-max,mean-min,mean-diff,skewness-1,skewness-2,skewness-3,skewness-4,skewness-5,skewness-average,skewness-max,skewness-min,skewness-diff,kurt-1,kurt-2,kurt-3,kurt-4,kurt-5,kurt-average,kurt-max,kurt-min,kurt-diff,homogeneity-1,homogeneity-2,homogeneity-3,homogeneity-4,homogeneity-5,homogeneity-average,homogeneity-max,homogeneity-min,homogeneity-diff,energy-1,energy-2,energy-3,energy-4,energy-5,energy-average,energy-max,energy-min,energy-diff,asm-1,asm-2,asm-3,asm-4,asm-5,asm-average,asm-max,asm-min,asm-diff,CO2_0.15,N2_0.85,CO2_0.015*100,N2_0.085*100,Working_Capacity,Selectivity
1,18.84687031,21.41679766,18.75134788,36.30466566,22.02783105,23.82992038,36.30466566,18.75134788,17.55331778,2.528940958,2.244896398,2.536752418,1.464227289,2.156042359,2.186171884,2.536752418,1.464227289,1.072525129,5.992196894,4.515675493,5.982152161,1.251261767,4.019534044,4.352164072,5.992196894,1.251261767,4.740935127,0.628512356,0.600232353,0.627855349,0.500403553,0.600559204,0.591512563,0.628512356,0.500403553,0.128108803,0.505939215,0.445530101,0.507673272,0.394452367,0.459196608,0.462558313,0.507673272,0.394452367,0.113220905,0.255974489,0.198497071,0.257732151,0.15559267,0.210861525,0.215731581,0.257732151,0.15559267,0.102139481,1.104251086,0.155365362,1.9704311,0.7838179,1.084546775,40.27553338
3,14.53313745,18.75543888,30.94236167,19.31110098,14.59754774,20.88550975,30.94236167,14.53313745,16.40922422,3.149950245,2.683571471,1.907852664,2.574652968,3.181831546,2.699571779,3.181831546,1.907852664,1.273978882,9.865798088,6.945970662,2.850336887,6.320263884,10.17186946,7.230847796,10.17186946,2.850336887,7.321532573,0.720227491,0.674440365,0.558333873,0.674848096,0.719056275,0.66938122,0.720227491,0.558333873,0.161893618,0.65426636,0.574045207,0.463368315,0.583899808,0.650963767,0.585308691,0.65426636,0.463368315,0.190898045,0.428064469,0.3295279,0.214710195,0.340938985,0.423753826,0.347399075,0.428064469,0.214710195,0.213354274,0.282848697,0.281205754,0.8880039,1.7180748,0.273968659,5.699774134
4,35.11213804,22.41579012,19.09149775,19.15893538,22.06343006,23.94459032,35.11213804,19.09149775,16.02064029,1.606233893,2.141847882,2.51438361,2.48484698,2.189013611,2.187265195,2.51438361,1.606233893,0.908149717,1.906533687,4.088277027,6.019527961,5.766619167,4.346040396,4.425399648,6.019527961,1.906533687,4.112994274,0.515744135,0.608903066,0.631384561,0.628713594,0.614106993,0.59977047,0.631384561,0.515744135,0.115640426,0.403475055,0.468918829,0.508015911,0.512066383,0.459028103,0.470300856,0.512066383,0.403475055,0.108591328,0.16279212,0.219884868,0.258080166,0.26221198,0.210706799,0.222735187,0.26221198,0.16279212,0.09941986,0.442760064,0.137135423,0.8234424,0.6517761,0.43452564,18.29559167
5,34.31293042,34.85115215,26.80210658,26.99042152,33.70936415,30.73915267,34.85115215,26.80210658,8.04904557,1.749789814,1.657769057,2.094437302,2.086393108,1.729116438,1.863501144,2.094437302,1.657769057,0.436668245,2.126102509,1.86591551,3.684566229,3.573288374,2.126731836,2.675320892,3.684566229,1.86591551,1.818650719,0.525410987,0.496909408,0.544262683,0.550812941,0.508914199,0.525262044,0.550812941,0.496909408,0.053903533,0.420000438,0.375698028,0.40516445,0.417048514,0.379977996,0.399577885,0.420000438,0.375698028,0.04430241,0.176400368,0.141149008,0.164158232,0.173929463,0.144383277,0.16000407,0.176400368,0.141149008,0.03525136,0.623326842,0.19345809,1.3222899,0.9397173,0.610103943,18.25814285
6,14.70139093,14.79220588,18.11478885,34.17120334,18.8223902,20.44489725,34.17120334,14.70139093,19.46981241,3.07580952,3.006013993,2.613383899,1.64555931,2.47222849,2.562599042,3.07580952,1.64555931,1.43025021,9.535291163,8.942166299,6.67439642,1.962473891,5.76905445,6.576676445,9.535291163,1.962473891,7.572817272,0.687212571,0.683408136,0.638943399,0.493827885,0.626789249,0.626036248,0.687212571,0.493827885,0.193384686,0.586592095,0.589077096,0.5123131,0.387306748,0.510467011,0.51715121,0.589077096,0.387306748,0.201770348,0.344090286,0.347011825,0.262464712,0.150006517,0.26057657,0.272829982,0.347011825,0.150006517,0.197005308,0.379180837,0.230734674,0.9681705,1.3890795,0.369499133,9.312390593
7,17.1659621,16.99343831,21.07648133,33.02812688,21.97579051,22.06600216,33.02812688,16.99343831,16.03468857,2.845158963,2.826494512,2.440284114,1.772540675,2.348614651,2.446618583,2.845158963,1.772540675,1.072618288,8.032641549,7.819471689,5.671096931,2.433015673,5.174905865,5.826226341,8.032641549,2.433015673,5.599625876,0.67629131,0.678538535,0.638639013,0.514482925,0.637954158,0.629181188,0.678538535,0.514482925,0.16405561,0.577594222,0.581080831,0.520404157,0.410395764,0.532251657,0.524345326,0.581080831,0.410395764,0.170685067,0.333615086,0.337654932,0.270820487,0.168424683,0.283291826,0.278761403,0.337654932,0.168424683,0.169230249,0.367667512,0.22513178,0.9148772,1.2736293,0.35851874,9.254354216
9,18.04972454,17.79345688,21.81146763,32.71784333,22.75520833,22.5931231,32.71784333,17.79345688,14.92438645,2.723877112,2.705554873,2.341479885,1.688184871,2.24762148,2.341343644,2.723877112,1.688184871,1.035692241,7.217210608,7.049938234,5.094262822,2.092908342,4.64185205,5.219234411,7.217210608,2.092908342,5.124302266,0.65577869,0.66045961,0.612803714,0.522432574,0.603204354,0.610935788,0.66045961,0.522432574,0.138027036,0.545289831,0.555668616,0.478866197,0.424211764,0.483264969,0.497460275,0.555668616,0.424211764,0.131456852,0.297341,0.308767611,0.229312834,0.17995562,0.23354503,0.249784419,0.308767611,0.17995562,0.128811991,0.382842492,0.198604104,0.9038237,1.1267772,0.373804255,10.92344389
10,35.67482489,18.02598459,17.61229413,23.18574064,22.58558873,23.62471106,35.67482489,17.61229413,18.06253076,1.430110226,2.557692105,2.642355914,2.030817534,2.107785256,2.153752207,2.642355914,1.430110226,1.212245688,1.3039483,6.294320698,6.936325111,3.657127453,4.032174766,4.444779266,6.936325111,1.3039483,5.632376811,0.457335242,0.593060635,0.606280843,0.542828808,0.547372898,0.549375685,0.606280843,0.457335242,0.148945601,0.35356699,0.438421944,0.454222904,0.378062182,0.379026618,0.400660128,0.454222904,0.35356699,0.100655914,0.125009616,0.192213801,0.206318446,0.142931013,0.143661177,0.162026811,0.206318446,0.125009616,0.08130883,0.412939503,0.144334349,0.8197747,0.7451394,0.404741756,16.21229129
11,29.51029731,14.9129804,15.00330343,19.72860348,19.07085558,19.78879616,29.51029731,14.9129804,14.59731691,1.947289314,3.118839487,3.154535844,2.55767133,2.658522851,2.687371765,3.154535844,1.947289314,1.20724653,3.099395529,9.728759039,10.0676739,6.298247427,6.896264405,7.21806806,10.0676739,3.099395529,6.968278371,0.543993137,0.696327413,0.694111795,0.641044504,0.644445392,0.643984448,0.696327413,0.543993137,0.152334276,0.436330113,0.613281298,0.610390907,0.541568791,0.537792076,0.547872637,0.613281298,0.436330113,0.176951185,0.190383968,0.37611395,0.372577059,0.293296755,0.289220317,0.30431841,0.37611395,0.190383968,0.185729982,0.295236378,0.256754704,0.8431815,1.5700621,0.286804563,6.515970739
12,38.65124199,21.29224694,21.56992733,28.26195426,28.11411881,27.44384263,38.65124199,21.29224694,17.35899505,1.27415396,2.190819929,2.221057807,1.707924463,1.713840833,1.821559398,2.221057807,1.27415396,0.946903847,0.727158942,4.147900055,4.352632875,2.182366122,2.168652241,2.715742047,4.352632875,0.727158942,3.625473933,0.49710925,0.648313718,0.645398711,0.577051939,0.572197654,0.588014254,0.648313718,0.49710925,0.151204468,0.368862256,0.534728496,0.530130248,0.443730935,0.430869192,0.461664225,0.534728496,0.368862256,0.16586624,0.136059364,0.285934565,0.28103808,0.196897142,0.185648261,0.217115482,0.285934565,0.136059364,0.149875201,0.787116619,0.16722755,1.5006469,0.8222032,0.77211015,26.67220505
